Image_Link,Product_Link,Price,Product_Name
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/g/p/-original-imahgwkqughzkwt3.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-edge-series-copilot-ai-pc-full-metal-chasis-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-np750xqb-ka1in-thin-light-laptop/p/itm1d61ec8d90cc7?pid=COMHE4ATFWNVHXHS&lid=LSTCOMHE4ATFWNVHXHSIHS0FO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_oLjcewBmyVeciHC_G_nOLayQYiXjhnD1FwO1VwjDAQ6CG97k6zDu7xMHrKya8HX688WPApOa2pfWUTUpZJ3yzPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000",Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/8/6/-original-imahgfdfs7spfjwe.jpeg?q=70,https://www.flipkart.com/asus-vivobook-16x-2025-creator-office-2024-m365-basic-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-k3605vc-rp413ws-gaming-laptop/p/itmec40249e8fe47?pid=COMH9499MNGSKSBV&lid=LSTCOMH9499MNGSKSBVOF6KTA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_oLjcewBmyVeciHC_G_nOLayQYiXjhnD1FwO1VwjDAQ7M56ka65X3W8BiCWsLWNbm9gjXXwQzBn8YXW7x_xl3YfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000","ASUS Vivobook 16X (2025) for Creator with Office 2024 + M365 Basic, Intel Core i5 13th Gen 13420H - (1..."
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/b/u/-original-imahgfdfbprdg3mm.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WZOS2IO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMH7NCZGGGWQC4W.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹12,000",Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/6/aspire-3-a325-53-thin-and-light-laptop-acer-original-imahg4t48x6tbbsx.jpeg?q=70,https://www.flipkart.com/acer-3-years-warranty-aspire-2025-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-a325-53-thin-light-laptop/p/itm07dcd421d9bcb?pid=COMHG4T4XWKNGBQH&lid=LSTCOMHG4T4XWKNGBQH3AUYMC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMHG4T4XWKNGBQH.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹70,990",Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/2/p/-original-imahgx8wc8jkg3yp.jpeg?q=70,https://www.flipkart.com/dell-inspiron-15-mso-24-backlit-kb-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itm8c87e16d883a6?pid=COMH8EPFJBDTQPFW&lid=LSTCOMH8EPFJBDTQPFWCQSXM5&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMH8EPFJBDTQPFW.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹89,990",DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/i/h/-original-imahcd9998zgefk5.jpeg?q=70,https://www.flipkart.com/infinix-gt-book-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-80-w-gl613-gaming-laptop/p/itmc9e44d5a9f6c4?pid=COMHYS44DKVFUFVS&lid=LSTCOMHYS44DKVFUFVS2KZG86&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_oLjcewBmyVeciHC_G_nOLayQYiXjhnD1FwO1VwjDAQ5jfRTna9QJeQTGfMo2LWyvkZKqFv7vnycX-uD0SNQp7o06z3QAm4-AoFL_C4Jep-g%3D&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000",Infinix GT Book Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/m/o/-original-imahfmzz5qkfce6d.jpeg?q=70,https://www.flipkart.com/asus-vivobook-14-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1404va-eb323ws-thin-light-laptop/p/itm4ec733dfcd801?pid=COMHEZZTYEAC6VEM&lid=LSTCOMHEZZTYEAC6VEMD00KXC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMHEZZTYEAC6VEM.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000","ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS..."
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/m/l/inspiron-5440-thin-and-light-laptop-dell-original-imahergnzncxkcfq.jpeg?q=70,https://www.flipkart.com/dell-inspiron-5440-2025-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itmedd3b1335552d?pid=COMHERGNK3PCMMSU&lid=LSTCOMHERGNK3PCMMSU9HBVBH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMHERGNK3PCMMSU.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000",DELL Inspiron 5440 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/l/v/-original-imahgfdffszmurd7.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-backlit-keyboard-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-x1504va-bq343ws-thin-light-laptop/p/itmdf2737816fe85?pid=COMHEZZTGEZXHS63&lid=LSTCOMHEZZTGEZXHS63518EOD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMHEZZTGEZXHS63.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000","ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U..."
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/p/f/a325-53-thin-and-light-laptop-acer-original-imahf4p3s4hsvhxz.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-2025-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a325-53-thin-light-laptop/p/itm3bdf32931e850?pid=COMHF4P3RSGHA46N&lid=LSTCOMHF4P3RSGHA46N56XWJY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMHF4P3RSGHA46N.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹84,990",Acer Aspire 3 (2025) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Aspire 3 A325-5...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/1/e/-original-imahesw8ggurgyru.jpeg?q=70,https://www.flipkart.com/infinix-b15-series-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-bl51a5-thin-light-laptop/p/itm44fad3bb6bbe7?pid=COMHESUZH4NYW9NT&lid=LSTCOMHESUZH4NYW9NTMB5CBK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_oLjcewBmyVeciHC_G_nOLayQYiXjhnD1FwO1VwjDAQ595KA9QZTAlfNadF_2iRuVdrp2C6hhLKvW6HVXbimgMOvN4Mn-dv-pi277bRzMbnY%3D&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000",Infinix B15 Series AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) BL51A5 Thin and Li...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/r/l/-original-imahfthuktzgmyba.jpeg?q=70,https://www.flipkart.com/asus-gaming-v16-2025-creator-office-2024-m365-basic-ai-pc-i5-14th-gen-intel-core-5-210h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-144-hz-v3607vu-rp550ws-laptop/p/itm098aec3c37243?pid=COMH89EB4YHB2R5U&lid=LSTCOMH89EB4YHB2R5UAEKWSN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_oLjcewBmyVeciHC_G_nOLayQYiXjhnD1FwO1VwjDAQ4fG4K5tS2YtXcJlNLl50fGjvGHOKySUPGqijynNJWhvGaRs4JL222ZRV-dN99QnxU%3D&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000","ASUS Gaming V16 (2025) for Creator with Office 2024 + M365 Basic*,AI PC((i5 14th gen) Intel Core 5 210..."
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/p/q/inspiron-3530-thin-and-light-laptop-dell-original-imah7wsqrek589hf.jpeg?q=70,https://www.flipkart.com/dell-inspiron-mso-2024-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itm56b02a3274b1b?pid=COMH7ZE6HHRCSSFQ&lid=LSTCOMH7ZE6HHRCSSFQV3UNIU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMH7ZE6HHRCSSFQ.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000",DELL Inspiron MSO '2024 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/c/x/-original-imahex3tcf4pzxej.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-backlit-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-15iah8-thin-light-laptop/p/itm76f0e5d975817?pid=COMGVQ2Y3ENU2RNV&lid=LSTCOMGVQ2Y3ENU2RNV6DRZRD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMGVQ2Y3ENU2RNV.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000",Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/x/1/a325-45-thin-and-light-laptop-acer-original-imah2tyffgnp8nmd.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a325-45-thin-light-laptop/p/itm9ca67a1a3ea22?pid=COMH59ENQYHDYJGX&lid=LSTCOMH59ENQYHDYJGXYVQ9ST&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMH59ENQYHDYJGX.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹20,000",Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/g/4/-original-imahgfdyf6grkw9r.jpeg?q=70,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os-82w00004ha/p/itm1ae5f82096ad9?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAAREQMZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=add0bccb-dbec-432a-8ca9-7612d20b9e8e.COMHA9FK8YXVUUWA.SEARCH&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹10,000",Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/t/v/-original-imahgfdfxwhykkpa.jpeg?q=70,https://www.flipkart.com/asus-vivobook-14-2025-office-2024-m365-basic-ai-pc-backlit-keyboard-intel-core-ultra-5-225h-16-gb-512-gb-ssd-windows-11-home-x1407ca-ly102ws-thin-light-laptop/p/itm46931df73e192?pid=COMH89EBSHZAG9ZE&lid=LSTCOMH89EBSHZAG9ZEFVUQUB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_oLjcewBmyVeciHC_G_nOLayQYiXjhnD1FwO1VwjDAQ4wA5OVYOSk7r_7iS1GZa_8_eQ84_apJlH21tLb1zazIq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=hp&ppn=homepage&ssid=861cqe8a0w0000001761731913767&qH=312f91285e048e09,"₹22,000","ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Intel Core Ultra 5 22..."
